Time (sec),Temperature (C),dT/dt (C/sec),h=-mcpdT/dt / A(T-Tw) (W/m2K),m (kg),cp (J/kg),Tw,rho (kg/m3),r (m),pi,V (m3),A (m2),q''=h(T-Tw) (W/m2),Te=T-Tw,ln(Te),ln(q)
11.76,561.6582,-0.3188,35.1494145957215,3.25200588164008,386,100,8930,0.0443,3.1415932,0.00036416639212095,0.024661380956272,16227.0159915093,461.658214742628,6.13482482236906,9.69443278602677
11.78,561.6518,-0.7341,80.9392042524041,,,,,,,,,37365.7324705375,461.651838755601,6.13481101121861,10.5285093192911
11.80,561.6289,-1.2549,138.366536821193,,,,,,,,,63873.9854016881,461.628850942701,6.13476121528297,11.0646674432576
11.82,561.6016,-1.5157,167.139164585409,,,,,,,,,77151.7130638926,461.601643488337,6.13470227560423,11.2535290618726
11.84,561.5682,-1.8441,203.363671662635,,,,,,,,,93866.2082256401,461.568221394807,6.13462986835868,11.4496257306262
11.86,561.5279,-1.4687,161.975746431279,,,,,,,,,74756.3226807047,461.527878881678,6.13454246139608,11.2219890720331
11.88,561.5095,-1.2793,141.097068091807,,,,,,,,,65117.6337147536,461.50947426054,6.13450258300746,11.0839506627121
11.90,561.4767,-1.4601,161.044945641417,,,,,,,,,74318.4910801253,461.476706295416,6.13443157876963,11.2161150702693
11.92,561.4511,-1.1832,130.511298467442,,,,,,,,,60224.5784809193,461.451071195521,6.13437602707745,11.0058358283871
11.94,561.4294,-1.2369,136.444946652596,,,,,,,,,62959.7069891287,461.42937890863,6.13432901711664,11.0502502291594
11.96,561.4016,-1.0616,117.116210345378,,,,,,,,,54037.6061849021,461.401594412457,6.13426880133069,10.8974354939964
11.98,561.3869,-0.7512,82.8755365121861,,,,,,,,,38237.6879996551,461.386913543933,6.13423698284054,10.5515769050775
12.00,561.3715,-1.0493,115.76757405619,,,,,,,,,53411.8645480892,461.3715453877,6.13420367367694,10.8857881828179
12.02,561.3449,-1.4473,159.676868245301,,,,,,,,,73666.1151868078,461.34493991728,6.13414600597326,11.2072982056518
12.04,561.3137,-1.2697,140.098354301466,,,,,,,,,64629.2838810635,461.313654991214,6.13407819123387,11.0764228979087
12.06,561.2942,-1.1268,124.338671902887,,,,,,,,,57356.702104336,461.294151099939,6.13403591131569,10.9570449789263
12.08,561.2686,-1.4413,159.044706785936,,,,,,,,,73362.326265668,461.268581320401,6.13398047924881,11.2031658167011
12.10,561.2365,-1.3382,147.67833371121,,,,,,,,,68114.637683423,461.23649943548,6.1339109254098,11.1289474129967
12.12,561.2151,-0.9283,102.444059288148,,,,,,,,,47248.7422897921,461.215053543457,6.13386442780902,10.7631813143622
12.14,561.1994,-1.1215,123.775140520751,,,,,,,,,57085.0167169991,461.199369088404,6.13383042041566,10.9522969569544
12.16,561.1702,-1.3397,147.861967858191,,,,,,,,,68189.5323101418,461.170193376163,6.13376715789392,11.130046346863
12.18,561.1458,-0.9106,100.514400980775,,,,,,,,,46351.7920883394,461.14578245564,6.13371422392949,10.7440152345042
12.20,561.1338,-0.5577,61.5570428993598,,,,,,,,,28386.0311327138,461.13376789594,6.13368816987745,10.2536524416216
12.22,561.1235,-0.9030,99.679177186818,,,,,,,,,45964.408603354,461.123475339366,6.13366584951802,10.7356226499767
12.24,561.0976,-1.2630,139.416935657105,,,,,,,,,64284.8209611902,461.097646840397,6.13360983583897,11.0710788164354
12.26,561.0730,-1.2340,136.225608377831,,,,,,,,,62809.9441035396,461.072957217648,6.13355628908169,11.0478686855187
12.28,561.0483,-1.3842,152.814138844548,,,,,,,,,70454.6970580029,461.048287748253,6.13350278316902,11.1627251873258
